epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3388,2.11072,4.47178,2.20436,0.00143,0.42857,0.14968,0.05099,3.25877,4.69495,3.04194,0.00034,0.00034,0.00034
2,94.1864,1.19997,2.92881,1.36295,0.00314,0.94286,0.11612,0.05593,1.8146,3.79489,2.13359,0.0006307,0.0006307,0.0006307
3,144.019,0.70015,1.8782,1.00557,0.73379,0.85714,0.84776,0.51517,1.41388,2.92882,1.45,0.00085012,0.00085012,0.00085012
4,191.013,0.65111,1.58782,0.93393,1,0.93866,0.94508,0.88454,0.56737,1.44072,0.91223,0.00099826,0.00099826,0.00099826
5,237.797,0.62287,1.40762,0.91472,0.99725,0.94286,0.94574,0.86437,0.60197,1.2298,0.89858,0.00107512,0.00107512,0.00107512
6,284.628,0.5413,1.29085,0.87906,0.99767,0.94286,0.99052,0.91923,0.47414,0.90301,0.79685,0.00101,0.00101,0.00101
7,331.486,0.49579,1.1664,0.86753,0.9975,0.94286,0.98016,0.90826,0.43805,1.00931,0.79222,0.000812,0.000812,0.000812
8,378.043,0.46185,1.10031,0.83872,0.99816,0.94286,0.9923,0.92331,0.43843,0.92399,0.7894,0.000614,0.000614,0.000614
9,423.441,0.44075,1.06424,0.84279,0.99795,1,0.995,0.92419,0.41672,0.81586,0.77749,0.000416,0.000416,0.000416
10,469.456,0.40008,1.04576,0.82134,0.99866,1,0.995,0.9285,0.38644,0.78078,0.77252,0.000218,0.000218,0.000218
